City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kourou,5.1552,-52.6478,26.28,85,90,2.88,GF,1729482864
1,hithadhoo,-0.6,73.0833,28.25,72,7,4.6,MV,1729482865
2,santa ana,33.7456,-117.8678,22.51,34,0,2.06,US,1729482866
3,stanley,54.868,-1.6985,12.01,79,54,12.35,GB,1729482868
4,bethel,41.3712,-73.414,12.19,72,0,0.45,US,1729482749
5,adamstown,-25.066,-130.1015,19.37,62,16,7.27,PN,1729482870
6,ushuaia,-54.8,-68.3,8.81,66,40,2.06,AR,1729482375
7,ribeira grande,38.5167,-28.7,16.54,77,100,2.68,PT,1729482872
8,dakhla,23.6848,-15.958,20.26,91,82,9.03,EH,1729482873
9,puerto natales,-51.7236,-72.4875,7.57,87,96,4.94,CL,1729482874
10,ancud,-41.8697,-73.8203,10.48,94,77,2.9,CL,1729482875
11,badger,64.8,-147.5333,-2.86,92,100,1.54,US,1729482876
12,klyuchi,52.2667,79.1667,9.46,40,100,6.55,RU,1729482877
13,margaret river,-33.95,115.0667,14.08,56,82,5.29,AU,1729482878
14,puerto baquerizo moreno,-0.9,-89.6,20.82,90,80,6.12,EC,1729482880
15,wanning,18.8003,110.3967,27.37,86,90,5.11,CN,1729482883
16,isangel,-19.55,169.2667,23.76,67,43,3.17,VU,1729482884
17,st. john's,47.5649,-52.7093,11.65,91,75,7.2,CA,1729482885
18,xianju,28.85,120.7333,26.75,63,0,0.89,CN,1729482886
19,port-aux-francais,-49.35,70.2167,2.16,82,85,16.58,TF,1729482887
20,mstsislaw,54.0192,31.7257,3.19,70,3,2.07,BY,1729482889
21,carnarvon,-24.8667,113.6333,21.37,61,99,9.66,AU,1729482890
22,jamestown,42.097,-79.2353,11.8,87,0,3.09,US,1729482796
23,ronne,55.1009,14.7066,12.95,94,100,6.17,DK,1729482892
24,dunedin,-45.8742,170.5036,11.61,96,100,1.31,NZ,1729482893
25,pangody,65.85,74.4859,-0.78,95,100,6.57,RU,1729482894
26,hawaiian paradise park,19.5933,-154.9731,24.93,81,11,2.71,US,1729482895
27,ca mau,9.1769,105.15,28.51,75,100,4.32,VN,1729482896
28,grytviken,-54.2811,-36.5092,1.83,90,100,4.59,GS,1729482897
29,ta`u,-14.2336,-169.5144,27.23,79,57,3.86,AS,1729482898
30,nar'yan-mar,67.6713,53.087,0.53,92,100,3.25,RU,1729482899
31,jeremie,18.65,-74.1167,26.76,83,100,1.17,HT,1729482901
32,tanout,14.9709,8.8879,29.02,21,4,3.89,NE,1729482902
33,motueka,-41.1333,173.0167,16.98,63,65,3.23,NZ,1729482903
34,nuuk,64.1835,-51.7216,-0.66,80,100,9.26,GL,1729482904
35,bredasdorp,-34.5322,20.0403,12.96,92,4,4.0,ZA,1729482905
36,iskateley,67.6803,53.1512,0.49,92,98,3.24,RU,1729482906
37,constantia,44.1833,28.65,3.38,60,0,3.67,RO,1729482846
38,kasongo-lunda,-6.4667,16.8167,21.35,99,89,0.8,CD,1729482908
39,west island,-12.1568,96.8225,27.99,61,75,7.2,CC,1729482909
40,ambodifotatra,-16.9833,49.85,23.03,94,75,0.0,MG,1729482910
41,blackmans bay,-43.0167,147.3167,20.85,68,3,2.24,AU,1729482911
42,yagoua,10.3411,15.2329,23.61,81,91,2.0,CM,1729482913
43,avarua,-21.2078,-159.775,25.03,94,75,6.17,CK,1729482914
44,pisco,-13.7,-76.2167,18.03,88,100,5.66,PE,1729482916
45,twon-brass,4.3151,6.2418,25.87,85,89,3.7,NG,1729482917
46,albany,42.6001,-73.9662,9.59,77,4,1.34,US,1729482918
47,arraial do cabo,-22.9661,-42.0278,21.78,92,100,3.27,BR,1729482919
48,saint-philippe,-21.3585,55.7679,23.1,76,11,3.65,RE,1729482920
49,rio grande,-32.035,-52.0986,18.82,88,4,8.23,BR,1729482859
50,talnakh,69.4865,88.3972,-14.09,95,58,1.14,RU,1729482922
51,edinburgh of the seven seas,-37.0676,-12.3116,14.27,81,100,6.49,SH,1729482923
52,yellowknife,62.456,-114.3525,-5.88,97,20,2.57,CA,1729482925
53,saipan,15.1355,145.701,26.39,89,100,3.6,MP,1729482926
54,fukuecho,32.6881,128.8419,24.2,69,0,4.12,JP,1729482927
55,yerofey pavlovich,53.9667,121.9667,-2.31,47,100,4.08,RU,1729482928
56,kurumkan,54.3,110.3,-3.25,69,28,0.67,RU,1729482929
57,arboletes,8.8505,-76.4269,25.95,88,100,4.55,CO,1729482930
58,saint-pierre,-21.3393,55.4781,24.82,69,0,7.72,RE,1729482931
59,isafjordur,66.0755,-23.124,0.08,98,100,5.44,IS,1729482932
60,daru,-9.0763,143.2092,27.73,69,64,5.38,PG,1729482933
61,bangassou,4.7413,22.8184,20.37,98,100,0.41,CF,1729482934
62,undurkhaan,47.3194,110.6556,-1.39,67,99,4.13,MN,1729482936
63,el calafate,-50.3408,-72.2768,7.91,84,53,6.15,AR,1729482937
64,cabo san lucas,22.8909,-109.9124,28.75,67,100,2.06,MX,1729482668
65,kutum,14.2,24.6667,21.42,23,92,2.38,SD,1729482939
66,chilecito,-29.1619,-67.4974,24.42,44,0,3.36,AR,1729482940
67,ust-nera,64.5667,143.2,-13.23,82,100,2.14,RU,1729482941
68,waitangi,-43.9535,-176.5597,13.23,86,21,3.58,NZ,1729482904
69,fuglafjordur,62.244,-6.814,8.11,87,96,3.77,FO,1729482944
70,afaahiti,-17.75,-149.2833,24.05,88,100,8.81,PF,1729482945
71,halifax,44.6453,-63.5724,10.81,90,15,2.57,CA,1729482294
72,tiksi,71.6872,128.8694,-11.33,94,96,3.21,RU,1729482948
73,vilyuysk,63.7553,121.6247,-14.72,81,7,1.18,RU,1729482949
74,olonkinbyen,70.9221,-8.7187,2.04,98,100,4.96,SJ,1729482950
75,lebu,-37.6167,-73.65,12.63,85,68,2.97,CL,1729482951
76,keflavik,64.0049,-22.5624,3.24,87,75,5.66,IS,1729482952
77,alice springs,-23.7,133.8833,35.75,11,0,4.12,AU,1729482953
78,lazaro cardenas,17.9583,-102.2,26.5,86,100,1.34,MX,1729482954
79,luanda,-8.8368,13.2343,25.0,78,75,2.06,AO,1729482797
80,vadso,70.0744,29.7487,8.09,87,75,5.66,NO,1729482956
81,tazovsky,67.4667,78.7,-6.06,94,96,5.5,RU,1729482957
82,yueyang,29.3333,113.0919,14.68,76,100,0.91,CN,1729482958
83,port elizabeth,-33.918,25.5701,16.16,88,100,7.72,ZA,1729482960
84,caleta de carquin,-11.0925,-77.6267,17.65,89,65,3.29,PE,1729482961
85,waddan,29.1614,16.139,22.46,37,90,5.35,LY,1729482962
86,newman,37.3138,-121.0208,17.25,36,90,0.89,US,1729482963
87,invercargill,-46.4,168.35,12.23,95,100,3.13,NZ,1729482643
88,gerash,27.6652,54.1371,19.08,20,0,0.69,IR,1729482965
89,hermanus,-34.4187,19.2345,14.89,88,13,5.36,ZA,1729482966
90,shakawe,-18.3667,21.85,25.05,41,95,1.99,BW,1729482967
91,rabo de peixe,37.8,-25.5833,17.77,99,20,4.12,PT,1729482968
92,garbahaarrey,3.3289,42.2209,25.55,80,100,8.55,SO,1729482969
93,sao joao da barra,-21.6403,-41.0511,22.45,95,100,7.58,BR,1729482971
94,papatowai,-46.5619,169.4708,11.62,98,100,2.01,NZ,1729482972
95,aasiaat,68.7098,-52.8699,-3.14,84,100,7.7,GL,1729482973
96,atafu village,-8.5421,-172.5159,28.46,70,32,6.92,TK,1729482974
97,el granada,37.5027,-122.4694,17.69,51,40,5.14,US,1729482975
98,valparaiso,-33.0393,-71.6273,11.8,93,20,2.06,CL,1729482710
99,marechal candido rondon,-24.5561,-54.0567,20.81,74,47,4.44,BR,1729482977
100,vorkuta,67.5,64.0,0.26,98,100,4.91,RU,1729482978
101,sant pere de ribes,41.2667,1.7667,16.45,62,79,0.45,ES,1729482979
102,iquitos,-3.7481,-73.2472,28.02,89,75,1.03,PE,1729482981
103,ilulissat,69.2167,-51.1,-0.99,80,75,8.75,GL,1729482982
104,fort bragg,35.139,-79.006,12.11,87,0,0.0,US,1729482983
105,souillac,-20.5167,57.5167,23.21,83,75,3.6,MU,1729482984
106,bengkulu,-3.8004,102.2655,28.57,69,62,3.6,ID,1729482985
107,enshi,30.3,109.4833,14.89,95,100,0.24,CN,1729482894
108,haqqulobod,40.9167,72.1167,18.47,27,75,1.62,UZ,1729482987
109,richards bay,-28.783,32.0377,18.45,93,100,2.79,ZA,1729482988
110,moroto,2.5345,34.6666,21.0,71,62,2.12,UG,1729482989
111,gwanda,-20.9333,29.0,18.18,57,10,6.28,ZW,1729482990
112,fort mcmurray,56.7268,-111.381,0.77,100,100,2.57,CA,1729482991
113,novoanninskiy,50.5287,42.6747,5.31,95,89,3.78,RU,1729482993
114,nema,57.5067,50.5011,3.35,97,100,2.16,RU,1729482994
115,ko pha ngan,9.7578,100.0291,28.38,73,100,1.24,TH,1729482996
116,osh,40.5151,72.8083,16.36,45,7,1.0,KG,1729482997
117,saudarkrokur,65.7461,-19.6394,2.27,99,100,3.46,IS,1729482998
118,lerwick,60.1545,-1.1494,11.32,92,100,13.37,GB,1729482999
119,dolores,-36.3132,-57.6792,20.61,77,52,5.64,AR,1729483000
120,arteche,12.2645,125.4048,28.66,80,97,4.88,PH,1729483001
121,somerset east,-32.7217,25.588,9.82,94,99,4.01,ZA,1729483002
122,kailua-kona,19.6406,-155.9956,26.98,82,100,3.09,US,1729483003
123,quepos,9.4236,-84.1652,25.79,85,100,1.39,CR,1729483005
124,marsa alam,25.0757,34.8918,24.87,50,1,5.13,EG,1729483006
125,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,75,75,4.0,RU,1729483007
126,baro,8.6,6.4167,24.39,92,100,0.73,NG,1729483008
127,chernyshevskiy,63.0128,112.4714,-10.29,80,73,1.93,RU,1729483009
128,yeppoon,-23.1333,150.7333,24.08,68,23,5.59,AU,1729483010
129,codrington,-38.2667,141.9667,23.43,48,56,2.01,AU,1729483011
130,visakhapatnam,17.69,83.2093,30.94,62,40,3.6,IN,1729483012
131,kathmandu,27.7167,85.3167,19.12,77,20,1.03,NP,1729482417
132,hamilton,39.1834,-84.5333,13.76,76,0,0.45,US,1729482719
133,minas de marcona,-15.2119,-75.1103,13.18,85,65,3.0,PE,1729483015
134,fortuna,40.5982,-124.1573,11.86,97,0,0.0,US,1729483017
